,Training Acc,Validation Accuracy,Training Loss,Validation Loss,0
0,0.356900603,0.417949378,1.479353693,1.160479235,
1,0.385207415,0.422906339,1.161854061,1.102952614,
2,0.404383004,0.417949378,1.119501902,1.116094783,
3,0.411427081,0.420297414,1.106532994,1.084512654,
4,0.409470379,0.418992966,1.10192414,1.087128122,
5,0.409013838,0.417949378,1.097088813,1.096395124,
6,0.417818934,0.417949378,1.093105633,1.087460871,
7,0.417492837,0.417949378,1.085770664,1.085175982,
8,0.416449249,0.417949378,1.088068093,1.113951199,
9,0.421536654,0.417949378,1.083869382,1.111003051,
10,0.427667618,0.417949378,1.079076405,1.102776437,
11,0.426819712,0.417949378,1.074930122,1.105359122,
12,0.428645968,0.417949378,1.073367534,1.136471221,
13,0.434907377,0.417949378,1.067646308,1.108023654,
14,0.434972614,0.418471158,1.060749534,1.081468812,
15,0.439538211,0.422906339,1.057827326,1.08087969,
16,0.446843207,0.423689008,1.046267592,1.181213443,
17,0.45075658,0.453691632,1.041963595,1.047833532,
18,0.462953299,0.426558822,1.034343559,1.207873106,
19,0.463409871,0.43855986,1.025046767,1.255640091,
20,0.471954077,0.494390815,1.02157235,1.008771317,
21,0.48558569,0.424732596,1.011767313,1.510364626,
22,0.491390556,0.45969215,1.004704279,1.154581521,
23,0.492760241,0.513696849,0.994597177,0.976789623,
24,0.497912854,0.496477962,0.990905061,1.079393255,
25,0.505804837,0.470127851,0.982311712,1.225293951,
26,0.51441431,0.436733633,0.975841549,1.477015588,
27,0.514349103,0.511609733,0.972213373,1.079381472,
28,0.519566894,0.51839292,0.964263454,1.030931082,
29,0.522371531,0.534307361,0.958025436,0.978216497,
30,0.526676238,0.51865381,0.957544809,1.06106268,
31,0.531502724,0.448212892,0.946094791,1.544581625,
32,0.536524892,0.516044855,0.946623516,1.112569376,
33,0.539329529,0.55100441,0.938798262,0.91543683,
34,0.543829918,0.462040186,0.934506936,1.476248946,
35,0.54552567,0.549439073,0.93394131,0.880852901,
36,0.548069417,0.513957739,0.928248341,1.141642141,
37,0.551591456,0.584137738,0.919697344,0.867369082,
38,0.560396552,0.582572401,0.916029979,0.857007538,
39,0.563135922,0.578658998,0.908744877,0.867458548,
40,0.55772239,0.563527286,0.911055584,0.859149884,
41,0.568679869,0.568745136,0.899914419,0.887188494,
42,0.567049325,0.575267434,0.897416531,0.874171346,
43,0.565940499,0.576832771,0.894440914,0.874831915,
44,0.578789473,0.590660036,0.879609584,0.845829408,
45,0.57611531,0.479259074,0.880520312,1.400942704,
46,0.581463635,0.616749287,0.873420315,0.820801247,
47,0.577941537,0.590920925,0.873664693,0.867983831,
48,0.586681426,0.570571363,0.867801586,0.959886108,
49,0.587268472,0.60422647,0.86565522,0.825406123,
50,0.594247341,0.615705729,0.863152245,0.819163978,
51,0.586029232,0.525436997,0.866934592,1.160842737,
52,0.593921185,0.507435441,0.854882046,1.199817825,
53,0.594116867,0.637098849,0.853022138,0.786781653,
54,0.595812678,0.581007063,0.849446249,0.87884845,
55,0.60422647,0.623532474,0.840747419,0.805998442,
56,0.600639164,0.63135922,0.844959231,0.790081242,
57,0.60546571,0.595356107,0.839450975,0.860062069,
58,0.607878923,0.605530918,0.832893203,0.854584336,
59,0.609770417,0.642838478,0.833284605,0.768562048,
60,0.609052956,0.552048028,0.838547064,1.018611807,
61,0.614401281,0.614140332,0.826377064,0.82442258,
62,0.616292715,0.624576032,0.822329707,0.78801515,
63,0.612835884,0.610226989,0.825706665,0.832480026,
64,0.615314364,0.57735455,0.825067369,0.954339132,
65,0.619227767,0.628750324,0.816193754,0.814472906,
66,0.623402059,0.621967137,0.816310543,0.812715319,
67,0.62164104,0.602139294,0.812087541,0.884113455,
68,0.630315661,0.58309418,0.806662968,0.932519039,
69,0.620727897,0.607096255,0.802161536,0.876502979,
70,0.624706507,0.621706247,0.809779399,0.808711686,
71,0.624315143,0.578658998,0.805173176,0.834253547,
72,0.625554383,0.653013289,0.806768696,0.764904349,
73,0.634229064,0.666057944,0.79666635,0.728355118,
74,0.633446395,0.615183949,0.792823461,0.846324546,
75,0.634229064,0.65770936,0.795896952,0.730497296,
76,0.634489954,0.596138775,0.790336515,0.930419471,
77,0.634620428,0.67388469,0.783867802,0.725838409,
78,0.637425005,0.624054253,0.787183928,0.819509333,
79,0.635924876,0.66292721,0.786362572,0.720550854,
80,0.642577589,0.673362911,0.77889453,0.722834001,
81,0.638794661,0.641273141,0.781937117,0.793064347,
82,0.641729712,0.674145579,0.777276973,0.720048527,
83,0.641664505,0.558048546,0.781541699,1.068203922,
84,0.646686673,0.647534549,0.771275833,0.786755558,
85,0.641729712,0.626402318,0.778743767,0.820409593,
86,0.648578167,0.678058982,0.767942734,0.725339573,
87,0.645316958,0.671797574,0.771164844,0.702107322,
88,0.647730231,0.671275735,0.768578107,0.713606701,
89,0.654056847,0.552569807,0.763293987,1.089787694,
90,0.650730491,0.692147136,0.763263373,0.691595649,
91,0.649882615,0.666057944,0.765148024,0.740541534,
92,0.652882874,0.683276832,0.759623049,0.708068685,
93,0.655035198,0.649099946,0.760659683,0.736620974,
94,0.653535068,0.611009657,0.759321076,0.782169569,
95,0.655100465,0.65223062,0.756089057,0.776443517,
96,0.659013808,0.692929804,0.753907033,0.691540046,
97,0.653535068,0.691625357,0.753088982,0.701429908,
98,0.653795958,0.687972844,0.75299282,0.693472126,
99,0.657057106,0.635533512,0.753773982,0.752089058,
